Url,ExpirationOn,CertExpiresInDays,CheckResult,Details,Server,Service
https://support.ahima.org,12/17/2020 1:07,54,WARNING,"Cert for site https://support.ahima.org expires in 54 days [on 12/17/2020 01:07:30]
Threshold is 60 days. Check details:
Cert name: CN=support.ahima.org
Cert public key: 3082010A0282010100C81FD08640D39E5F3F12F84D7C364CD8D8548BBF2C57C87533D889F7DBABC519770175FB43D1E60F8C2DEF6BB0186387014277B59BD842A8C4EE34644928883D0257A7883A54A42FF28EF8C1FC08151B9D721F3FE75738B1901E2B3431C157B7CE5579A3FE41E8AE716DED36CC1B0E1EC091A8A28FB539E6684BAC8A9584DC17EE2253E2E71D3ACB720D37F93009F2E9C467EC7B5602F116A9C099F27263352B0AC83276931F073BC226868DA24D58BF4716BC145BB2BCE5D138882476682B807C6F146EFF42A2E03618B9C21CC8062B44E0D456D45887F6F6AA41C8E09685F142F2E191FB20C580F4C369946233BC2A8D929180B23C6C0BFCB0BADB3DD1ED230203010001
Cert serial number: 037749650AD49332E6518C06BFEC58AA74CE
Cert thumbprint: BA34CC59BBC3CA10A48FE5DD31321887810E8EC0
Cert effective date: 9/18/2020 2:07:30 AM
Cert issuer: C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,
https://testsearch.ahima.org,,,ERROR,"Exception while checking URL https://testsearch.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://vpn.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1fw01,
https://vpn.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1fw01,
https://vpn0.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1fw01,
https://vpn1.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1fw01,
https://web01.qa.aa.ahima.org,,,ERROR,"Exception while checking URL https://web01.qa.aa.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The underlying connection was closed: An unexpected error occurred on a send."" ",,
https://web01.test.az.ahima.org,,,ERROR,"Exception while checking URL https://web01.test.az.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://webapi.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-01B,
https://webapi.live.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-01B,
https://webapi-qa.ahima.org,,,ERROR,"Exception while checking URL https://webapi-qa.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The underlying connection was closed: An unexpected error occurred on a send."" ",,
https://webapitest.ahima.org,9/8/2022 15:09,685,OKAY,,,Web_Test
https://webapi-test.ahima.org,,,ERROR,"Exception while checking URL https://webapi-test.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://webapi.test.ahima.org,,,ERROR,"Exception while checking URL https://webapi.test.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://websso.ahima.org,,,ERROR,"Exception while checking URL https://websso.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://www.ahima.org,9/8/2022 15:09,685,OKAY,,,Web_production
https://www6.ahima.org,,,ERROR,"Exception while checking URL https://www6.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://www7.ahima.org,,,ERROR,"Exception while checking URL https://www7.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://www.csaleaders.ahima.org,,,ERROR,"Exception while checking URL https://www.csaleaders.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://www.test.ahima.org,,,ERROR,"Exception while checking URL https://www.test.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
